id_utente,trip_id,subtrip_id,lat,long,instant_speed,altitude,time,subtrip_type
15128445777990,943856,434786,43.61002734963607,3.8645422460758536,5.23,38,2024-03-04 07:35:29+00:00,Biking
15128445777990,943856,434786,43.61052508879443,3.864608794755549,5.85,39,2024-03-04 07:35:40+00:00,Biking
15128445777990,943856,434786,43.61094832980441,3.8648735966709125,5.74,37,2024-03-04 07:35:47+00:00,Biking
15128445777990,943856,434786,43.611401085502436,3.8650891927022504,5.21,36,2024-03-04 07:35:55+00:00,Biking
15128445777990,943856,434786,43.61152573032498,3.865708178567097,5.02,36,2024-03-04 07:36:07+00:00,Biking
15128445777990,943856,434786,43.61171505765723,3.8662926621000584,3.78,35,2024-03-04 07:36:21+00:00,Biking
15128445777990,943856,434786,43.612105538185865,3.8666981449791162,5.12,35,2024-03-04 07:36:34+00:00,Biking
15128445777990,943856,434786,43.61249298482296,3.867023066691899,6.5,33,2024-03-04 07:36:42+00:00,Biking
15128445777990,943856,434786,43.612817744499495,3.8674662463556113,0.57,34,2024-03-04 07:37:21+00:00,Biking
15128445777990,943856,434786,43.61320627741596,3.8678682016856425,6.0,31,2024-03-04 07:37:32+00:00,Biking
15128445777990,943856,434786,43.61359335131041,3.868273062836554,6.7,32,2024-03-04 07:37:40+00:00,Biking
15128445777990,943856,434786,43.61397123415429,3.8686793800909385,6.53,29,2024-03-04 07:37:48+00:00,Biking
15128445777990,943856,434786,43.614362246329804,3.869082990884747,6.3,30,2024-03-04 07:37:56+00:00,Biking
15128445777990,943856,434786,43.61473001562075,3.8695000128893904,6.3,29,2024-03-04 07:38:04+00:00,Biking
15128445777990,943856,434786,43.61516448470674,3.869738798777505,5.03,30,2024-03-04 07:38:18+00:00,Biking
15128445777990,943856,434786,43.6156258006295,3.869621629982369,4.92,28,2024-03-04 07:38:28+00:00,Biking
15128445777990,943856,434786,43.616073464363765,3.8695374520792303,5.24,30,2024-03-04 07:38:36+00:00,Biking
15128445777990,943856,434786,43.616568420365915,3.869523006388936,3.42,29,2024-03-04 07:38:46+00:00,Biking
15128445777990,943856,434786,43.61705438904012,3.869600220479964,5.47,30,2024-03-04 07:38:55+00:00,Biking
15128445777990,943856,434786,43.61752573429651,3.8695766167105576,3.35,28,2024-03-04 07:39:04+00:00,Biking
15128445777990,943856,434786,43.61797433085863,3.8694841235893898,5.39,26,2024-03-04 07:39:25+00:00,Biking
15128445777990,943856,434786,43.61845413001561,3.8694629455551186,6.51,27,2024-03-04 07:39:33+00:00,Biking
15128445777990,943856,434786,43.61893763919321,3.8694358681916126,5.07,28,2024-03-04 07:39:42+00:00,Biking
15128445777990,943856,434786,43.6194017727552,3.869410301610024,2.72,30,2024-03-04 07:39:56+00:00,Biking
